License,PortType,TotalPayed,StationID,PortNumber,InQueue
25497284,SLOW,36.950000,0,0,0
22112748,SLOW,147.730000,0,0,0
11223344,FAST,90.800000,412,1,0
11111111,FAST,0.000000,205,1,0
11223334,FAST,0.000000,0,0,0
20053042,SLOW,17.110000,0,0,0
12341234,FAST,0.000000,0,0,0
21339412,MID,111.260000,0,0,0
21794617,MID,19.380000,0,0,0
23456789,SLOW,144856.000000,0,0,0
22502659,MID,43.820000,0,0,0
22526350,MID,77.450000,0,0,0
23321957,SLOW,80.790000,0,0,0
25045665,FAST,95.430000,205,0,1
24799602,FAST,2027.590000,0,0,0
66778899,FAST,145345.600000,0,0,0
29587102,FAST,70.060000,518,4,0
25529962,FAST,410.800000,0,0,0
26538849,MID,35.990000,0,0,0
26054912,SLOW,30.600000,0,0,0
26423659,FAST,13.870000,0,0,0
27187646,MID,133.230000,0,0,0
26920954,MID,142.620000,0,0,0
28173908,FAST,93.450000,412,3,0
27205295,MID,1943.540000,0,0,0
29145178,MID,93.950000,0,0,0
29450109,SLOW,74.090000,0,0,0
29165333,MID,385.610000,0,0,0
55667788,MID,145351.300000,0,0,0
34567890,MID,144874.500000,0,0,0
99887766,MID,145086.300000,0,0,0
87654321,MID,71548.400000,0,0,0
