StationID,PortNumber,PortType,Status,Year,Month,Day,Hour,Min,CarLicense
205,1,FAST,1,2025,8,10,22,37,11111111
205,2,MID,2,0,0,0,0,0,-1
205,3,SLOW,2,0,0,0,0,0,-1
307,1,FAST,2,0,0,0,0,0,-1
307,2,FAST,2,0,0,0,0,0,-1
307,3,SLOW,3,0,0,0,0,0,-1
307,4,MID,2,0,0,0,0,0,-1
307,5,MID,2,0,0,0,0,0,-1
412,1,FAST,1,2025,6,30,10,0,11223344
412,2,MID,2,0,0,0,0,0,-1
412,3,FAST,1,2025,8,11,11,59,28173908
518,1,MID,2,0,0,0,0,0,-1
518,2,SLOW,2,0,0,0,0,0,-1
518,3,MID,2,0,0,0,0,0,-1
518,4,FAST,1,2025,8,11,12,24,29587102
518,5,MID,2,0,0,0,0,0,-1
518,6,SLOW,2,0,0,0,0,0,-1
623,1,MID,2,0,0,0,0,0,-1
623,2,FAST,2,0,0,0,0,0,-1
623,3,MID,2,0,0,0,0,0,-1
